id,LoanTypeDescription,Source,Rate,LoanTerm,AmountDisbursed,LoanOpenDate,LoanPayment,LoanPaymentMethodDesc,LoanCreditHighBal,PaymentMethods,InstancesOfDelinquency,CreditLifeInsurance,CreditDisabilityInsurance,ApprovalOfficerNumber,BranchName,IsRefinance,IsAddon,IsSecure,Zip,CreditScore,BankruptcyScore,OccupancyStatus,OccupancyDuration,MonthlyRent,Occupation,EmployedMonths,EmploymentStatus,IncomeVerifyMethod,TotalMonthlyIncome,MonthlyLiability,CoCreditScore,CoBankruptcyScore,CoOccupancyStatus,CoOccupancyDuration,CoMonthlyRent,CoOccupation,CoEmployedMonths,CoEmploymentStatus,CoTotalMonthlyIncome,CoMonthlyLiability,TotalDebtToIncomeFund,RevolvingDebtAmounts,NumberOfOpenRevolvingAccounts,TotalUnsecureBalance,TotalMonthlyDebt,Age_LoanOpenDate,MonthsOfMembership_loanopendate,AccountOpenDate,MonthsOfMembership,EstatementIndicator,DebitCardIndicator,CreditCardIndicator,DirectDepositsReceived,AvgDirectDeposit,SavingsProductsPreLoan,SavingsProductsPostLoan,LoanProductsPreLoan,LoanProductsPostLoan,AvgTotalDeposits,HomeBankingFirstLogInDate,NumberOfLoginsBeforeLoan,NumberOfLoginsAfterLoan,DealershipName,TotalVehicleValue,FundedLTV,EstimatedVehiclePayment,VehicleColor,VehicleMake,VehicleModel,VehicleMileage,IsNewVehicle,VehicleYear,IsIndirectLoan,TradeValue,TradeAllowance,TradeType,TradePayoff,TradeMake,TradeModel,GAPInsurance,IWS,BinaryTarget
223321,USEDAUTO,LENDER,2.79,60,18550.19,23JUN2015,332.0,Coupon,18550.19,Unknown--Cash-2-Check-21,0,N,N,1140,EastOrlando,N,N,Y,32828,749,341,BUYING,1,0.0,SALES,23,EM,,5804.28,1818.0,746.0,337.0,BUYING,1.0,0.0,COOK,20.0,EM,1585.6,0.0,29.094,756.0,9.0,756.0,2150.0,39,11,29JUL2014,38,Y,N,N,,,1,0,1,0,22.6862,,0,0,,22200.0,83.559,330.83,,HONDA,CR-V,12575,N,2014,N,0.0,0.0,,0.0,,,N,N,0
142257,INDIRECTNEWAUTO,GATEWAY,8.0,72,18920.57,14JUN2014,332.82,Cash,18921.0,ACH-1-Cash-1-HomeBanking-30,0,N,N,1439,,N,N,Y,34753,661,186,LIVEWITHPARENTS,240,200.0,KITCHENMANAGER,66,EM,,1993.44,150.0,,,,,,,,,,,34.253,4595.0,4.0,4595.0,482.82,28,0,14JUN2014,39,N,N,N,69.0,1064.3633,0,2,0,0,177.3304,8/26/2014,0,600,DONMEALEYCHEVROLET,19110.0,99.009,332.31,,CHEVROLET,SONIC4DRSDNAUTOLT,25,Y,2014,Y,0.0,0.0,,0.0,,,N,N,0
350006,INDIRECTNEWAUTO,GATEWAY,3.75,84,44148.2,29SEP2016,599.3,Coupon,44148.2,ACH-11,0,N,N,1617,,N,N,Y,34714,774,303,BUYING,120,0.0,BUSINESSANALYST,130,EM,,12333.33,4283.0,753.0,249.0,LIVEWITHPARENTS,120.0,0.0,INSTRUCTOR/SALES,150.0,EM,7500.0,0.0,24.617,15481.0,6.0,33483.0,4882.3,56,9,04DEC2015,21,N,N,N,,,1,0,1,0,5.0,,0,0,UNIVERSALNISSAN,34885.0,126.554,537.74,,NISSAN,PATHFINDERFWDSV,14,Y,2017,Y,0.0,-8850.0,,8850.0,NISSAN,MURANO,N,N,0
285402,USEDAUTO,LENDER,3.74,66,17918.39,20FEB2016,301.27,Coupon,17918.39,Cash-22,0,N,N,1484,LakeNona,N,N,Y,32824-5058,681,340,BUYING,180,0.0,CLEANINGHOUSES,120,SE,,2500.0,1221.0,712.0,328.0,BUYING,180.0,0.0,DRIVER,84.0,EM,2860.0,0.0,28.401,6206.0,7.0,6206.0,1522.27,52,0,20FEB2016,19,Y,N,N,,,0,0,0,0,540.3549,,0,0,,27500.0,65.158,309.03,,TOYOTA,TUNDRA,66138,N,2008,N,0.0,0.0,,0.0,,,N,N,0
306452,INDIRECTNEWAUTO,GATEWAY,6.45,75,29274.39,05MAY2016,475.3,Coupon,29274.39,ACH-15-Cash-1-Check-1,0,N,N,1439,,N,N,Y,34759,653,323,RENT,120,700.0,SALESASSOCIATE,252,EM,,2916.67,200.57,,,,,,,,,,,47.173,1883.0,1.0,19954.0,675.87,60,0,05MAY2016,16,N,N,N,,,0,0,0,0,6.0632,,0,0,UNIVERSALNISSAN,26295.0,111.331,446.59,,NISSAN,ROGUE,55,Y,2016,Y,0.0,0.0,,0.0,,,N,N,0
375063,INDIRECTNEWAUTO,GATEWAY,4.45,75,31596.33,03JAN2017,484.24,Coupon,31596.33,HomeBanking-8,0,N,N,1054,ConsumerLending,N,N,Y,32811,718,380,RENT,15,300.0,SRAPLEAD,27,EM,,2866.67,235.0,670.0,283.0,RENT,17.0,300.0,FORKLIFTOPERATOR,15.0,EM,2098.0,0.0,26.573,189.0,2.0,25046.0,719.24,34,11,02FEB2016,19,Y,Y,Y,30.0,609.2646,1,0,0,0,2569.8761,,0,0,UNIVERSALNISSAN,25530.0,123.762,424.41,,HYUNDAI,SONATASE2.4L,10,Y,2017,Y,1000.0,1000.0,,0.0,DODGE,DAKOTA,N,N,0
267965,USEDAUTO,LENDER,7.2,66,17018.34,17DEC2015,313.53,Cash,17018.34,Cash-34,0,N,N,1394,ConsumerLending,N,N,Y,34759-4107,564,291,OTHER,4,0.0,TRAININGASSISTANT,26,EM,GOODWILL,2279.33,1807.0,652.0,103.0,BUYING,36.0,0.0,RETIRED-ARMYVA,12.0,RE,7152.0,0.0,22.484,11477.0,8.0,11818.0,2120.53,27,26,23OCT2013,47,Y,N,N,,,1,0,1,0,5.0,,0,0,ENTERPRISECARSALE,14600.0,116.564,297.07,,TOYOTA,COROLLA,37764,N,2014,N,0.0,0.0,,0.0,,,Y,Y,0
200221,USEDAUTO,LENDER,5.74,75,25210.03,05MAR2015,401.83,Cash,25210.03,Unknown--Cash-23-Check-2-HomeBanking-2,0,N,N,1484,Apopka,N,N,Y,32712-4834,697,288,LIVEWITHPARENTS,84,300.0,LAWNPESTCONTROLTECH,47,EM,PAYSTUB,3033.33,132.0,,,,,,,,,,,27.489,1329.0,4.0,1329.0,533.83,23,18,27SEP2013,48,Y,Y,N,,,1,0,1,0,20.2355,2/10/2014,13,5,RCHILLDELANDMITSUBISHI,25875.0,97.43,400.42,,SUBARU,IMPREZA-4CYL.,36119,N,2012,N,0.0,0.0,,0.0,,,Y,Y,0
119307,USEDAUTO,LENDER,7.5,75,15955.1,11APR2014,291.51,Cash,15956.0,Unknown--SharedBranch-32,12,Y,Y,97292,SouthOrlando,N,N,Y,34475-1620,0,0,LIVEWITHPARENTS,252,0.0,CREWMEMBER,37,EM,,1100.0,0.0,,,,,,,,,,,26.501,0.0,0.0,0.0,291.51,21,0,11APR2014,41,N,N,N,,,0,0,1,0,11.3183,,0,0,RIDEONAUTOINCORPORATED,14150.0,112.757,289.63,,HYUNDAI,SONATA-4CYL.,78610,N,2011,N,0.0,0.0,,0.0,,,Y,Y,0
307425,USEDAUTO,LENDER,4.65,81,19555.06,06MAY2016,282.3,AutoTransfer,19555.06,Unknown--Check-1,0,N,N,1439,ForestCity,N,N,Y,32712-3241,714,304,RENT,9,300.0,VOLLEYBALLCOACH,12,SE,,3500.0,920.0,,,,,,,,,,,42.923,2.0,3.0,2.0,1202.3,49,0,04MAY2016,16,Y,N,N,7.0,35.8428,2,0,0,0,3432.7369,5/6/2016,0,189,,27525.0,71.045,262.53,,NISSAN,370Z,20350,N,2015,N,0.0,0.0,,0.0,,,N,Y,0
300930,INDIRECTNEWAUTO,GATEWAY,6.45,75,29975.34,21APR2016,487.97,Coupon,29975.34,Unknown--Cash-2-Check-10-Draft-3,0,N,N,1054,ConsumerLending,N,N,Y,32828,638,185,RENT,22,1300.0,ADMINISTRAOR,191,EM,,5250.0,622.0,,,,,,,,,,,45.904,2727.0,2.0,18096.0,1109.97,58,0,21APR2016,17,N,N,N,,,0,0,0,0,5.0,,0,0,CARLBLACKCHEVROLETBUICKGMC,24605.0,121.826,468.9,,BUICK,VERANO,3760,Y,2015,Y,12500.0,-10500.0,,23000.0,HYUNDAI,ELANTRA,N,N,0
230500,USEDAUTO,LENDER,2.79,66,6630.23,20JUL2015,109.71,Cash,6686.18,Unknown--Check-2-Kiosk-1,0,Y,N,1430,FernPark,Y,N,Y,32708,796,308,OTHER,108,300.0,OWNER,72,EM,,3652.0,537.0,,,,,,,,,,,25.923,8780.0,3.0,8780.0,646.71,39,113,04FEB2006,139,Y,N,Y,,,3,0,1,0,1601.0791,10/23/2012,227,73,,16625.0,39.881,107.49,,NISSAN,TITANCREWCAB-V8,74000,N,2008,N,0.0,0.0,,0.0,,,Y,N,0
408825,INDIRECTUSEDAUTO,GATEWAY,3.69,75,16047.76,09MAY2017,239.91,Coupon,16047.76,ACH-3-Cash-1,0,N,N,1289,,N,N,Y,32709,701,374,BUYING,84,0.0,SUPERINTENDENT,72,EM,,5833.33,1025.0,,,,,,,,,,,21.684,138.0,1.0,0.0,1264.91,39,0,08MAY2017,4,N,N,N,,,1,0,0,0,5.0,,0,0,NAPLETONCLERMONTCHRYSLERDODGEJEEP,20100.0,79.84,239.45,,DODGE,GRANDCARAVAN4DRWGNSXT,27442,N,2016,Y,0.0,0.0,,0.0,,,N,N,0
331674,USEDAUTO,LENDER,2.15,36,8555.1,30AUG2016,245.82,Coupon,8555.1,HomeBanking-11,0,N,N,1439,MSC,N,N,Y,34746,676,271,RENT,6,1000.0,TEACHER,174,EM,,5666.67,204.0,,,,,,,,,,,36.173,9513.0,6.0,9513.0,449.82,47,58,13OCT2011,71,Y,Y,Y,2.0,0.275,2,0,0,0,474.1626,10/30/2012,133,57,ENTERPRISECARSALES,17200.0,49.739,229.87,SILVER,TOYOTA,PRIUS,36467,N,2015,N,0.0,0.0,,0.0,,,Y,N,0
125791,INDIRECTUSEDAUTO,GATEWAY,7.5,72,22329.3,28MAY2014,387.28,Cash,22330.0,ACH-35,0,N,N,1394,ConsumerLending,N,N,Y,33016,0,0,RENT,36,900.0,SUPERVISOR,1,EM,,4372.47,0.0,,,,,,,,,,,29.441,0.0,0.0,0.0,387.28,42,0,28MAY2014,40,Y,N,N,,,0,1,0,0,5.0,6/19/2014,0,5,CENTRALFLORIDATOYOTA,21950.0,101.728,415.11,,TOYOTA,RAV4,16406,N,2012,Y,0.0,0.0,,0.0,,,N,N,0
374157,USEDAUTO,LENDER,4.3,66,13075.57,06JAN2017,223.18,Cash,13212.24,Unknown--Check-1-HomeBanking-8,0,N,N,1617,Oviedo,N,N,Y,32707-5514,691,288,RENT,26,850.0,TEACHER,60,EM,DIRDEP,3833.33,383.29,,,,,,,,,,,37.995,7454.0,4.0,16774.0,606.47,27,26,25NOV2014,34,Y,Y,N,6.0,2360.145,3,0,2,0,117.1089,,0,0,,12475.0,104.814,211.95,,HONDA,CIVIC,41978,N,2013,N,0.0,0.0,,0.0,,,Y,N,0
341979,USEDAUTO,LENDER,7.74,84,27649.09,02SEP2016,441.08,Coupon,27669.55,Unknown--Check-2,0,Y,N,1249,St.Cloud,N,N,Y,32822-3389,656,160,OTHER,12,668.0,RETIREDMECHANIC/AEE,0,RE,SS,4835.0,1023.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,39.83,7895.0,3.0,11457.0,1464.08,62,11,20OCT2015,23,Y,N,N,,,1,0,1,1,13.4259,,0,0,,22725.0,121.668,391.66,,NISSAN,TITANCREWCAB-V8,56268,N,2012,N,0.0,0.0,,0.0,,,Y,Y,0
88512,USEDAUTO,CONSUMER,5.74,75,38079.65,09JAN2014,606.75,Cash,38080.0,Unknown-,0,N,N,1340,SouthOrlando,N,N,Y,32751-3910,680,271,BUYING,216,0.0,CFO,16,EM,,11250.0,4057.0,,,,,,,,,,,41.456,8392.0,6.0,49594.0,4663.75,58,370,21MAR1983,414,N,Y,N,74.0,2016.9543,2,0,0,0,1871.5016,10/24/2012,336,843,,42600.0,89.389,770.14,,LEXUS,RX350UTILITY4D2WDV6,5400,N,2013,N,0.0,0.0,,0.0,,,N,N,0
145338,USEDAUTO,LENDER,14.5,60,14714.2,05JUL2014,348.29,Cash,14715.0,Unknown--Cash-10-HomeBanking-11,10,N,N,1249,Mills,N,N,Y,34761,608,283,LIVEWITHPARENTS,216,0.0,WAREHOUSEASSC,3,EM,,1560.0,40.0,,,,,,,,,,,24.89,791.0,2.0,791.0,388.29,21,0,03JUL2014,38,N,N,N,,,1,0,0,0,4.8169,7/25/2014,0,94,GREENWAYDODGE,17625.0,83.485,316.92,,NISSAN,ALTIMA-V6,81871,N,2009,N,0.0,0.0,,0.0,,,Y,N,1
253964,USEDAUTO,LENDER,2.99,66,5766.6,14OCT2015,94.98,Coupon,5766.6,HomeBanking-23,0,N,N,1306,St.Cloud,N,N,Y,34769-2770,689,392,RENT,48,475.0,ASDTEACHER,84,EM,,3300.0,0.0,,,,,,,,,,,17.272000000000002,0.0,4.0,0.0,94.98,45,56,01FEB2011,79,Y,Y,N,101.0,1089.5447,2,0,0,0,624.7622,10/24/2012,478,579,,8975.0,64.252,82.36,WHITE,TOYOTA,COROLLA-4CYL.,85000,N,2009,N,0.0,0.0,,0.0,,,N,N,0
286062,INDIRECTNEWAUTO,GATEWAY,3.29,72,53026.59,25FEB2016,812.64,Coupon,53026.59,HomeBanking-19,0,N,N,1484,ConsumerLending,N,N,Y,32712,729,289,BUYING,132,0.0,OWNER,132,EM,,6015.0,4160.0,750.0,327.0,BUYING,132.0,0.0,OWNER,132.0,EM,3000.0,0.0,55.16,0.0,3.0,0.0,4972.64,50,225,20MAY1997,244,Y,N,N,,,2,0,2,0,177.1253,7/22/2014,45,12,MULLINAXFORDAPOPKA,66620.0,79.596,812.56,,FORD,SUPERDUTYF-350SRW,50,Y,2016,Y,0.0,0.0,,0.0,,,N,N,0
357447,USEDAUTO,LENDER,4.0,72,26161.34,28OCT2016,409.97,Coupon,26161.34,Check-1-HomeBanking-6,0,N,N,1140,OrangeCity,N,N,Y,32725,748,309,BUYING,18,0.0,MRA/DSD,205,EM,,3544.67,1299.0,,,,,,,,,,,48.212,270.0,15.0,3995.0,1708.97,56,53,01MAY2012,64,Y,Y,Y,,,2,0,0,0,1386.5586,10/30/2012,126,44,,22425.0,116.661,409.18,,TOYOTA,RAV4,10772,N,2015,N,0.0,0.0,,0.0,,,Y,N,0
125958,USEDAUTO,LENDER,7.5,54,9475.25,30APR2014,221.87,Cash,9476.0,Unknown--Cash-9-Check-1,0,Y,Y,1249,LakeMary,N,N,Y,32712,0,0,LIVEWITHPARENTS,24,0.0,SERVICEWRITER,24,EM,VOI,1280.94,0.0,,,,,,,,,,,17.320999999999998,0.0,0.0,0.0,221.87,21,0,30APR2014,41,Y,N,N,,,0,0,0,1,5.0,6/9/2014,0,2,UNITEDAUTOSALES,9050.0,104.699,219.99,,TOYOTA,COROLLA-4CYL.,105073,N,2005,N,0.0,0.0,,0.0,,,Y,N,0
327816,INDIRECTUSEDAUTO,GATEWAY,7.49,75,17775.35,20JUL2016,297.83,Coupon,17775.35,ACH-13-Cash-1,0,N,N,1054,ConsumerLending,N,N,Y,32780,657,311,RENT,12,575.0,POLICEOFFICER,24,EM,,3612.0,455.0,605.0,290.0,LIVEWITHPARENTS,36.0,300.0,SSI/PENSION,60.0,RE,2800.0,0.0,25.387,63.0,3.0,193.0,752.83,25,0,20JUL2016,14,Y,N,N,,,0,0,0,0,5.0,8/4/2016,0,1,CORYFAIRBANKSMAZDA,12625.0,140.795,237.19,,KIA,SOUL5DRWGNAUTOBASE,32850,N,2014,Y,0.0,0.0,,0.0,,,N,N,0
320836,INDIRECTUSEDAUTO,GATEWAY,4.65,72,18651.47,23JUN2016,297.89,Coupon,18651.47,Cash-14-Check-1,0,N,N,1617,,N,N,Y,34743,0,330,LIVEWITHPARENTS,180,300.0,CUSTODIAN,24,EM,,2000.0,3553.0,723.0,87.0,BUYING,228.0,0.0,MANAGER,312.0,EM,5860.0,0.0,52.81,20087.0,16.0,20219.0,3850.89,26,0,23JUN2016,15,N,N,N,,,0,0,0,0,5.0,,0,0,NAPLETONSORLANDOCHRYSLERJEEPDODGE,14975.0,124.551,261.48,,DODGE,CHARGER4DRSDNSERWD,77749,N,2012,Y,0.0,0.0,,0.0,,,N,N,0
392407,INDIRECTUSEDAUTO,GATEWAY,8.24,75,13671.36,16MAR2017,234.63,Coupon,13831.86,Unknown--ACH-6-Draft-1,0,N,N,1054,ConsumerLending,N,N,Y,33897-5903,647,212,BUYING,144,0.0,SERVER,168,EM,,3334.42,1105.0,,,,,,,,,,,40.176,10186.0,5.0,10186.0,1339.63,61,0,16MAR2017,6,Y,N,N,,,0,0,0,0,5.0,,0,0,UNIVERSALNISSAN,11925.0,114.645,230.26,,NISSAN,VERSANOTE5DRHBCVT1.6SV,40472,N,2015,Y,0.0,0.0,,0.0,,,N,N,0
195294,NEWAUTO,LENDER,3.35,84,33157.03,21JAN2015,444.05,Coupon,33157.03,Unknown--ACH-32,0,N,N,1355,LakeMary,N,N,Y,32712,766,292,BUYING,7,0.0,SENIORPROJECTMANAGER,12,EM,,3000.0,2751.0,699.0,282.0,BUYING,7.0,0.0,CUSTOMERCONSULTANT,12.0,EM,5416.67,0.0,37.961,17609.0,15.0,24418.0,3195.05,45,306,21JUL1989,338,Y,N,Y,1.0,444.05,2,0,1,0,6.0973,11/5/2012,36,81,LEXUSOFORLANDO,40545.0,81.778,442.02,,LEXUS,ES,3,Y,2015,N,0.0,0.0,,0.0,,,Y,N,0
261481,INDIRECTUSEDAUTO,GATEWAY,2.49,48,5250.35,17NOV2015,115.03,Coupon,5250.35,HomeBanking-21,0,N,N,1249,,N,N,Y,32824,587,181,BUYING,252,0.0,XRAYTECH,5,EM,,5000.0,1090.0,,,,,,,,,,,24.101,2039.0,1.0,5343.0,1205.03,54,159,29AUG2002,181,Y,N,Y,112.0,1322.9841,2,0,1,0,699.8906,10/29/2012,339,224,SUBARUSOUTHORLANDO,8100.0,64.819,114.75,,HYUNDAI,ELANTRA4DRSDNAUTOSE,93111,N,2010,Y,0.0,0.0,,0.0,,,N,N,0
294192,USEDAUTO,CONSUMER,2.79,66,16658.62,21MAR2016,272.89,AutoTransfer,16658.62,Unknown-,0,N,N,1617,PineHills,N,N,Y,34761-5726,741,461,LIVEWITHPARENTS,60,300.0,REGISTEREDNURSE,17,EM,,2400.0,28.0,,,,,,,,,,,25.037,1912.0,1.0,1912.0,300.89,25,81,01JUN2009,99,Y,N,N,43.0,1266.2662,2,0,0,0,8979.5203,12/12/2012,156,74,ENTERPRISECARSALES,14775.0,112.749,271.11,,TOYOTA,COROLLA,40529,N,2014,N,0.0,0.0,,0.0,,,Y,N,0
231206,INDIRECTNEWAUTO,GATEWAY,5.99,75,32368.13,25JUL2015,519.72,Coupon,32368.13,Unknown--ACH-19-Check-2-Draft-6,0,N,N,1484,,N,N,Y,34741,648,216,LIVEWITHPARENTS,42,0.0,SELECTOR,39,EM,,3750.0,96.0,,,,,,,,,,,16.419,3239.0,2.0,3239.0,615.72,28,0,24JUL2015,26,N,N,N,1.0,519.72,1,0,0,0,5.0,,0,0,UNIVERSALNISSAN,24985.0,129.55,478.07,,NISSAN,ALTIMA,17,Y,2015,Y,0.0,-4100.0,,4100.0,NISSAN,ALTIMA,N,N,0
287832,INDIRECTUSEDAUTO,GATEWAY,7.2,75,18841.25,03MAR2016,315.25,Coupon,19777.94,Unknown--ACH-2-Cash-12,7,N,N,1289,ConsumerLending,N,N,Y,32818,640,173,LIVEWITHPARENTS,12,300.0,ACCOUNTANT,96,EM,,2800.0,615.0,,,,,,,,,,,43.938,13913.0,6.0,24125.0,930.25,43,0,03MAR2016,18,N,N,N,2.0,315.25,0,0,0,0,5.0,,0,0,CLASSICHONDA,14375.0,131.07,284.67,,HYUNDAI,SONATASEDAN4DGLSI4,47953,N,2014,Y,0.0,-4300.0,,4300.0,MAZDA,MAZDA3,N,N,0
